businessName,normalizedName,projects,pipelineProjects,recentProjects,latestApplication,latestCompletion,cities,counties,targetScore,nextStep,clearbitQuery,candidateDomain,candidateUrl,candidateTitle,candidateSnippet,discoveryStatus,discoveryError,homepageUrl,careerUrls,detailJobUrls,careerPageFound,atsDetected,jobPostingDetected,detailedJobCount,auditStatus,auditNote
"NSF EPC LLC","nsf epc","22","9","12","2026-05-29","2026-06-05","Fishers | Elbridge | Chateaugay | Ithaca | Endicott | Walworth | Norwich | Edmeston","Ontario | Onondaga | Franklin | Tompkins | Broome | Wayne | Chenango | Otsego","130","Find official domain, then audit careers/jobs pages for detailed solar offers.","nsf epc","nsfepc.com","https://nsfepc.com","NSF EPC","","candidate_found","","","","","false","false","false","0","audit_error","Homepage could not be fetched as HTML."
"Seaboard Solar Holdings LLC","seaboard solar holdings","9","9","9","2026-01-28","","Valatie | East Greenbush | Waterford | Boonville | Gansevoort","Columbia | Rensselaer | Saratoga | Oneida","108","Find official domain, then audit careers/jobs pages for detailed solar offers.","seaboard solar","seaboardsolar.com","https://seaboardsolar.com","Seaboard Solar","","candidate_found","","https://seaboardsolar.com/","","","false","false","false","0","rejected_no_career_page","No provider-hosted Careers/Jobs link found on homepage."
"New Energy Equity LLC","new energy equity","12","9","7","2025-05-24","2026-07-14","Middletown | Moriah | Newark Valley | Sherburne | Depew | Buffalo | Houghton | Falconer","Orange | Essex | Tioga | Chenango | Erie | Allegany | Chautauqua","105","Find official domain, then audit careers/jobs pages for detailed solar offers.","new energy equity","newenergyequity.com","https://newenergyequity.com","New Energy Equity","","candidate_found","","https://www.newenergyequity.com/","https://www.newenergyequity.com/careers","","true","true","false","0","rejected_ats","Known ATS reference found on career page."
"Delaware River Solar, LLC","delaware river solar","18","7","7","2026-05-20","2024-12-19","Winfield | Erwin | Corning | Callicoon | Monticello | Woodridge | Narrowsburg | Dryden","Herkimer | Steuben | Sullivan | Tompkins | Chemung | Onondaga | Tioga | Oneida","95","Find official domain, then audit careers/jobs pages for detailed solar offers.","delaware river solar","delawareriversolar.com","https://delawareriversolar.com","Delaware River Solar","","candidate_found","","","","","false","false","false","0","audit_error","Homepage could not be fetched as HTML."
"AES Distributed Energy, Inc.","aes distributed energy","39","6","2","2025-12-10","2026-07-13","Middletown | Otisville | Goshen | Walden | Montgomery | Rock Tavern | Pleasant Valley | Troy","Orange | Dutchess | Rensselaer | Washington | Columbia | Schenectady | Jefferson | Saratoga","93","Find official domain, then audit careers/jobs pages for detailed solar offers.","aes distributed energy","aesdistributedenergy.com","https://aesdistributedenergy.com","AES Distributed Energy","","candidate_found","","https://aesdistributedenergy.com/","","","false","false","false","0","rejected_no_career_page","No provider-hosted Careers/Jobs link found on homepage."
"Emes Solar","emes solar","230","5","124","2026-05-08","2026-06-22","Far Rockaway | Atlantic Beach | Lawrence | Oakland Gardens | Long Beach | South Richmond Hill | Bayside | Flushing","Queens | Nassau | Kings | Richmond | Bronx | New York | Westchester | Rockland","462","Find official domain, then audit careers/jobs pages for detailed solar offers.","emes solar","emessolar.com","https://emessolar.com","Emes Solar","","candidate_found","","https://emessolar.com/","","","false","false","false","0","rejected_no_career_page","No provider-hosted Careers/Jobs link found on homepage."
"Montante Solar","montante solar","100","5","30","2026-03-06","2026-03-19","Montgomery | Vernon | East Syracuse | Webster | Buffalo | Tonawanda | Albion | Niagara Falls","Orange | Oneida | Onondaga | Monroe | Erie | Orleans | Niagara | Chautauqua","180","Find official domain, then audit careers/jobs pages for detailed solar offers.","montante solar","montantesolar.com","https://montantesolar.com","Montante Solar","","candidate_found","","https://www.montantesolar.com/","https://www.montantesolar.com/careers/","","true","true","false","0","rejected_ats","Known ATS reference found on career page."
"Urban Energy Inc.","urban energy","18","4","7","2024-04-19","2024-12-12","Astoria | East Elmhurst | Brooklyn | Staten Island | Bronx | New York | Yonkers | Tuckahoe","Queens | Kings | Richmond | Bronx | New York | Westchester","71","Find official domain, then audit careers/jobs pages for detailed solar offers.","urban energy","urban-energy.eu","https://urban-energy.eu","Urban Energy","","candidate_found","","https://www.urban-energy.eu/","","","false","false","false","0","rejected_no_career_page","No provider-hosted Careers/Jobs link found on homepage."
"AC Power, LLC","ac power","4","4","4","2026-03-26","","Queensbury | Syracuse | Depew | Tonawanda","Warren | Onondaga | Erie","48","Find official domain, then audit careers/jobs pages for detailed solar offers.","power","powerthesaurus.org","https://powerthesaurus.org","Power Thesaurus","","candidate_found","","","","","false","false","false","0","audit_error","Homepage could not be fetched as HTML."
"Sky Solar Inc.","sky solar","4","4","0","2021-10-20","","Freehold | New Paltz | Saratoga Springs","Greene | Ulster | Saratoga","36","Find official domain, then audit careers/jobs pages for detailed solar offers.","sky solar","skysolar.us","https://skysolar.us","Sky Solar","","candidate_found","","https://skysolar.us/","","","false","false","false","0","rejected_no_career_page","No provider-hosted Careers/Jobs link found on homepage."
