businessName,normalizedName,projects,pipelineProjects,recentProjects,latestApplication,latestCompletion,cities,counties,targetScore,nextStep
"Abundant Solar Power Inc.","abundant solar power","24","12","12","2026-05-20","2025-10-17","Middletown | Buffalo | Skaneateles Falls | Conklin | Cazenovia | Syracuse | East Syracuse | Elmira","Delaware | Erie | Onondaga | Broome | Madison | Chemung | Wayne | Monroe","156","Find official domain, then audit careers/jobs pages for detailed solar offers."
"RP New York Solar, LLC","rp new york solar","12","11","9","2026-02-18","2026-06-08","East Berne | Phoenix | Fulton | Central Square | Brewerton | Little Falls | Baldwinsville | Burt","Albany | Onondaga | Oswego | Herkimer | Niagara | Allegany | Cattaraugus","127","Find official domain, then audit careers/jobs pages for detailed solar offers."
"OYA SOLAR NY L.P.","oya solar ny l p","17","11","0","2022-09-13","2023-06-13","Watertown | Clayton | Constable | Pulaski | Baldwinsville | Burt | Piffard | Cattaraugus","Jefferson | Franklin | Oswego | Onondaga | Niagara | Livingston | Cattaraugus | Chautauqua","105","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Dimension Energy LLC","dimension energy","19","10","7","2025-11-21","2026-06-23","Heuvelton | Galway | Canton | Lowville | New Woodstock | Skaneateles | Parish | Palmyra","St Lawrence | Saratoga | Lewis | Madison | Onondaga | Oswego | Wayne | Chenango","120","Find official domain, then audit careers/jobs pages for detailed solar offers."
"NSF EPC LLC","nsf epc","22","9","12","2026-05-29","2026-06-05","Fishers | Elbridge | Chateaugay | Ithaca | Endicott | Walworth | Norwich | Edmeston","Ontario | Onondaga | Franklin | Tompkins | Broome | Wayne | Chenango | Otsego","130","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Seaboard Solar Holdings LLC","seaboard solar holdings","9","9","9","2026-01-28","","Valatie | East Greenbush | Waterford | Boonville | Gansevoort","Columbia | Rensselaer | Saratoga | Oneida","108","Find official domain, then audit careers/jobs pages for detailed solar offers."
"New Energy Equity LLC","new energy equity","12","9","7","2025-05-24","2026-07-14","Middletown | Moriah | Newark Valley | Sherburne | Depew | Buffalo | Houghton | Falconer","Orange | Essex | Tioga | Chenango | Erie | Allegany | Chautauqua","105","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Bluewave Public Benefit Corp.","bluewave public benefit","9","9","6","2026-02-18","","Stamford | Fonda | Newport | Binghamton | Johnstown | Albion | Hornell","Delaware | Fulton | Herkimer | Broome | Orleans | Steuben","99","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Scale Microgrid Solutions Operating, LLC","scale microgrid solutions operating","15","8","9","2024-08-23","2026-06-03","Bainbridge | Chemung | Amsterdam | Binghamton | Apalachin | Romulus","Chenango | Chemung | Montgomery | Fulton | Broome | Tioga | Seneca","106","Find official domain, then audit careers/jobs pages for detailed solar offers."
"SAFARI ENERGY","safari energy","82","8","8","2026-02-17","2022-12-09","Centereach | Riverhead | Ridge | Greenlawn | Bohemia | Huntington Station | Deer Park | Plainview","Suffolk | Nassau | Queens | Kings | Richmond | Bronx | New York | Westchester","138","Find official domain, then audit careers/jobs pages for detailed solar offers."
