businessName,normalizedName,projects,pipelineProjects,recentProjects,latestApplication,latestCompletion,cities,counties,targetScore,nextStep
"CSG PV I LLC","csg pv i","6","1","1","2023-01-26","2026-01-26","Canton | Copenhagen | Schenectady | Rome | Oswego | Albion","St Lawrence | Lewis | Schenectady | Oneida | Oswego | Orleans","17","Find official domain, then audit careers/jobs pages for detailed solar offers."
"RWE Clean Energy Asset Holdings Inc.","rwe clean energy asset holdings","18","1","0","2022-06-10","2023-02-09","White Plains | Rye | Putnam Valley | Valhalla | Ardsley | Mohegan Lake | Warwick | Kingston","Westchester | Putnam | Orange | Ulster | Columbia | Dutchess | Franklin","26","Find official domain, then audit careers/jobs pages for detailed solar offers."
"212 Solar Development LLC, New Leaf Energy","212 solar development new leaf energy","18","1","0","2021-09-08","2020-09-30","Goshen | Altamont | Whitehall | Amsterdam | North Creek | Champlain | Lisbon | Johnstown","Orange | Albany | Washington | Montgomery | Warren | Clinton | St Lawrence | Fulton","26","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Ecogy Solar LLC","ecogy solar","9","1","0","2022-12-01","2025-08-12","Staten Island | Ossining | White Plains | Yorktown Heights | Briarcliff Manor | Croton on Hudson","Richmond | Westchester","17","Find official domain, then audit careers/jobs pages for detailed solar offers."
"SUNRUN, INC","sunrun","24451","0","6783","2025-12-11","2026-07-28","Calverton | Mastic | Selden | Center Moriches | Montauk | Coram | Southampton | Lake Grove","Suffolk | Westchester | Queens | Orange | Nassau | Kings | Richmond | Bronx","20399","Find official domain, then audit careers/jobs pages for detailed solar offers."
"IGS Solar, LLC","igs solar","6697","0","3790","2025-12-12","2026-07-28","Staten Island | New Hyde Park | Jamaica | Queens Village | South Richmond Hill | Richmond Hill | South Ozone Park | Little Neck","Richmond | Nassau | Queens | Kings | Bronx | Westchester | Rockland | Putnam","11420","Find official domain, then audit careers/jobs pages for detailed solar offers."
"PlugPV, LLC","plugpv","5529","0","3461","2026-05-21","2026-07-30","Geneva | Astoria | Cambria Heights | Bronx | Port Chester | Hawthorne | Scarsdale | White Plains","Seneca | Queens | Bronx | Westchester | Putnam | Rockland | Dutchess | Orange","10433","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Infinity Solar Systems LLC","infinity solar systems","3075","0","1923","2026-03-13","2026-07-21","Port Chester | Glen Oaks | Howard Beach | Bayside | Queens Village | Astoria | Brooklyn | Staten Island","Westchester | Queens | Kings | Richmond | Bronx | Putnam | Rockland | Orange","5819","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Momentum Solar (dba for Pro Custom Solar LLC)","momentum solar dba for pro custom solar","3363","0","1824","2026-06-15","2026-07-17","QUEENS | Mastic Beach | South Richmond Hill | Howard Beach | Jamaica | Ronkonkoma | Massapequa | Deer Park","Queens | Suffolk | Nassau | Kings | Richmond | Bronx | Westchester | Rockland","5522","Find official domain, then audit careers/jobs pages for detailed solar offers."
"SuNation Solar Systems, Inc.","sunation solar systems","4378","0","1304","2026-06-17","2026-07-30","Cutchogue | Holtsville | Ronkonkoma | East Hampton | Medford | Hampton Bays | Shirley | Center Moriches","Suffolk | Queens | Nassau | Kings | Richmond | Bronx | Westchester | Rockland","3962","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Kasselman Solar LLC","kasselman solar","3862","0","1192","2026-06-08","2026-07-24","Centereach | White Plains | Yonkers | Mamaroneck | Dobbs Ferry | Scarsdale | New Rochelle | Pelham","Suffolk | Westchester | Rockland | Putnam | Orange | Sullivan | Delaware | Greene","3626","Find official domain, then audit careers/jobs pages for detailed solar offers."
"TRINITY SOLAR","trinity solar","2196","0","940","2026-01-23","2026-03-26","Shirley | Rocky Point | Holbrook | Southampton | Medford | Lake Grove | Centereach | Patchogue","Suffolk | Nassau | Queens | Kings | Richmond | Bronx | New York | Westchester","2870","Find official domain, then audit careers/jobs pages for detailed solar offers."
"SUNPOWER CAPITAL LLC","sunpower capital","10904","0","842","2024-07-10","2025-08-14","Centereach | Peconic | Sound Beach | Farmingville | Patchogue | Lake Grove | Water Mill | Ronkonkoma","Suffolk | Nassau | Queens | Kings | Richmond | Bronx | New York | Westchester","2576","Find official domain, then audit careers/jobs pages for detailed solar offers."
"EmPower Solar","empower solar","2356","0","709","2025-10-28","2026-03-17","Sayville | Holbrook | Sag Harbor | Greenport | Coram | East Hampton | Cutchogue | Westhampton Beach","Suffolk | Nassau | Queens | Kings | Richmond | Bronx | New York | Westchester","2177","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Sunnova Energy Corp.","sunnova energy","2052","0","661","2025-05-21","2026-02-11","Medford | Selden | Holtsville | Rocky Point | Mattituck | Brentwood | Islandia | Sayville","Suffolk | Nassau | Queens | Kings | Richmond | Bronx | Westchester | Rockland","2033","Find official domain, then audit careers/jobs pages for detailed solar offers."
"3rd ROC Solar LLC","3rd roc solar","810","0","558","2026-03-11","2026-06-30","Argyle | Trumansburg | Williamson | Newark | Canandaigua | Ontario | Webster | Baldwinsville","Washington | Tompkins | Wayne | Ontario | Monroe | Onondaga | Chemung | Cayuga","1724","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Surf Clean Energy Inc","surf clean energy","786","0","440","2026-06-24","2026-07-21","Medford | Ronkonkoma | Centereach | Coram | Port Jefferson Station | Middle Island | Sound Beach | Mastic Beach","Suffolk | Nassau | Queens | Kings | Richmond | Bronx | Westchester | Schoharie","1370","Find official domain, then audit careers/jobs pages for detailed solar offers."
"HARVEST POWER","harvest power","1215","0","395","2026-04-21","2026-07-22","Rocky Point | Holbrook | Centereach | Patchogue | East Hampton | Selden | Farmingville | Ronkonkoma","Suffolk | Queens | Nassau | Kings | Richmond | Bronx | Westchester | Orange","1235","Find official domain, then audit careers/jobs pages for detailed solar offers."
"CIR Electrical Construction Corp.","cir electrical construction","1257","0","329","2026-03-31","2026-07-01","Castleton on Hudson | Webster | Smyrna | Macedon | Stanley | Walworth | Tonawanda | Buffalo","Rensselaer | Monroe | Chenango | Wayne | Ontario | Erie | Niagara | Genesee","1037","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Hytech Solar Inc","hytech solar","568","0","272","2026-04-25","2026-06-29","Mastic Beach | Mastic | Amagansett | Mattituck | Ridge | Holtsville | Coram | Ronkonkoma","Suffolk | Nassau | Queens | Kings | Richmond | Bronx | Westchester","866","Find official domain, then audit careers/jobs pages for detailed solar offers."
"SOLANTA CORP","solanta","364","0","218","2026-05-08","2026-07-15","Astoria | East Meadow | Hicksville | Glen Cove | New Hyde Park | Jamaica | Fresh Meadows | South Richmond Hill","Queens | Nassau | Kings | Richmond | Bronx | New York | Westchester | Rockland","704","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Renovus Energy, Inc","renovus energy","1355","0","203","2026-06-11","2026-07-29","Livingston Manor | Cooperstown | Treadwell | Bloomville | Hamden | East Berne | Worcester | Walton","Sullivan | Otsego | Delaware | Albany | Tompkins | Ulster | Saratoga | Fulton","659","Find official domain, then audit careers/jobs pages for detailed solar offers."
"SunCommon (dba for SolarCommunities Inc.)","suncommon dba for solarcommunities","821","0","202","2025-12-22","2026-02-06","Mahopac | Cold Spring | Brewster | Garrison | Carmel | Putnam Valley | Warwick | Highland Mills","Putnam | Orange | Sullivan | Rockland | Dutchess | Greene | Ulster | Delaware","656","Find official domain, then audit careers/jobs pages for detailed solar offers."
"J.B.I Construction Group INC?","j b i construction group","275","0","196","2025-10-10","2026-06-16","South Richmond Hill | Fresh Meadows | Hollis | Howard Beach | Valley Stream | Jamaica | Queens Village | Glen Oaks","Queens | Nassau | Kings | Richmond | Bronx","638","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Amergy Solar Inc.","amergy solar","643","0","195","2026-03-13","2026-06-02","Queens | Flushing | Hampton Bays | Fresh Meadows | Oakland Gardens | Little Neck | Bayside | Whitestone","Queens | Suffolk | Kings | Richmond | Bronx | Westchester","635","Find official domain, then audit careers/jobs pages for detailed solar offers."
"AEC Energy Corp./American Energy Care","aec energy american energy care","595","0","193","2026-02-09","2026-07-24","Bronxville | Carmel | Garrison | West Coxsackie | Westerlo | Athens | Jewett | Summit","Westchester | Putnam | Greene | Albany | Schoharie | Dutchess | Delaware | Otsego","629","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Quest Home Improvement Inc. dba Quest Solar","quest home improvement dba quest solar","235","0","171","2025-07-22","2026-02-06","Richmond Hill | Ozone Park | Jamaica | Hollis | Fresh Meadows | Howard Beach | Bellerose | South Richmond Hill","Queens | Kings | Richmond | Bronx | New York | Westchester | Rockland | Putnam","563","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Patriot Energy Solutions Corp.","patriot energy solutions","373","0","161","2026-01-09","2026-02-24","Lake Grove | Medford | Shirley | Ronkonkoma | Port Jefferson Station | Farmingville | East Moriches | Moriches","Suffolk | Nassau | Queens | Kings | Richmond | Bronx | New York | Westchester","533","Find official domain, then audit careers/jobs pages for detailed solar offers."
"SunBlue Energy (dba for Florenton River LLC)","sunblue energy dba for florenton river","599","0","139","2026-03-18","2026-06-17","Jamaica | Ridgewood | Cambria Heights | Queens Village | Astoria | Sunnyside | Brooklyn | Staten Island","Queens | Kings | Richmond | Bronx | New York | Westchester | Rockland | Putnam","467","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Sea Bright Solar","sea bright solar","468","0","127","2026-06-24","2026-07-20","Staten Island | Flushing | Bayside | Little Neck | Oakland Gardens | Jamaica | Ozone Park | Queens Village","Richmond | Queens | Kings | Bronx | New York | Westchester | Orange | Sullivan","431","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Apex Energy Tek LLC","apex energy tek","1760","0","118","2026-02-04","2026-05-05","Hartsdale | Scarsdale | Mount Vernon | Mamaroneck | New Rochelle | Yonkers | Tarrytown | White Plains","Westchester | Rockland | Putnam | Orange | Sullivan | Albany | Ulster | Otsego","404","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Rivertown Solar LLC","rivertown solar","116","0","116","2026-06-29","2026-07-30","Yonkers | Far Rockaway | Fresh Meadows | Ozone Park | Jamaica | South Ozone Park | Hollis | Brooklyn","Westchester | Queens | Kings | Bronx | Dutchess | Rockland","398","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Nickels Energy Solutions, LLC","nickels energy solutions","320","0","110","2026-07-16","2026-07-21","Phoenix | Elmsford | Lee Center | Lowville | Camden | Fayetteville | Chittenango | Baldwinsville","Oswego | Westchester | Oneida | Lewis | Onondaga | Madison | Cayuga | Cortland","380","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Leviathan Solar Inc","leviathan solar","110","0","110","2026-01-30","2026-05-11","Patchogue | Ronkonkoma | Port Jefferson Station | Holbrook | Farmingville | Middle Island | Westhampton | Selden","Suffolk | Nassau","380","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Green Logic LLC","green logic","943","0","104","2026-02-20","2026-07-28","Water Mill | Center Moriches | Mattituck | Lake Grove | Patchogue | Shelter Island | Hampton Bays | East Hampton","Suffolk | Nassau | Queens | Kings | New York | Bronx | Westchester","362","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Green Hybrid Energy Solutions","green hybrid energy solutions","288","0","104","2026-03-26","2026-07-27","Southampton | Astoria | Brooklyn | Bronx | Staten Island | New York | Hartsdale | Irvington","Suffolk | Queens | Kings | Bronx | Richmond | New York | Westchester | Putnam","362","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Alternative Power Solutions of NY, LLC","alternative power solutions of ny","518","0","94","2025-12-17","2026-06-12","Arkville | East Durham | East Berne | Kingston | Milton | Valatie | Pine Plains | Canaan","Delaware | Greene | Albany | Ulster | Columbia | St Lawrence | Essex | Jefferson","332","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Tri-State Solar Services LLC","tri state solar services","133","0","82","2025-12-09","2026-05-07","Bayside | Howard Beach | Queens Village | Ozone Park | Saint Albans | Bellerose | Staten Island | Bronx","Queens | Richmond | Bronx | New York | Westchester | Rockland | Putnam | Sullivan","296","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Solar Pro Inc","solar pro","77","0","77","2026-04-27","2026-06-22","New Hyde Park | Richmond Hill | Flushing | Jamaica | South Ozone Park | College Point | Floral Park | Brooklyn","Nassau | Queens | Kings | Bronx | Rockland | Richmond | Saratoga","281","Find official domain, then audit careers/jobs pages for detailed solar offers."
"My Solar Grid","my solar grid","692","0","70","2025-09-04","2025-12-05","Trumansburg | Brooklyn | Tarrytown | Dobbs Ferry | Cold Spring | Pound Ridge | Armonk | Briarcliff Manor","Schuyler | Kings | Westchester | Putnam | Orange | Sullivan | Rockland | Ulster","260","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Integrity Solar Solutions, LLC","integrity solar solutions","194","0","70","2026-01-21","2026-03-03","Fresh Meadows | Jamaica | Brooklyn | Bronx | Pelham | Rye | Port Chester | Bronxville","Queens | Kings | Bronx | Westchester | Rockland | Putnam | Orange | Sullivan","260","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Finger Lakes Power Systems LLC DBA QwikSolar","finger lakes power systems dba qwiksolar","409","0","68","2026-04-23","2026-07-13","Romulus | Himrod | Geneva | Canandaigua | Newark | Auburn | Newfield | Clyde","Seneca | Yates | Ontario | Wayne | Cayuga | Tompkins | Chemung | Onondaga","254","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Greenpoint Solar & Electrical, Inc.","greenpoint solar electrical","68","0","68","2026-03-31","2026-07-27","Mount Vernon | Larchmont | Scarsdale | Yonkers | Pelham | Chappaqua | Katonah | Mohegan Lake","Westchester | Rockland | Orange | Sullivan | Ulster | Dutchess | Albany | Rensselaer","254","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Albany Solar Solutions L.L.C.","albany solar solutions","164","0","66","2025-09-26","2026-07-28","Gilboa | Medusa | Cobleskill | Jewett | Schoharie | Shokan | Ravena | Altamont","Schoharie | Albany | Greene | Ulster | Otsego | Columbia | Dutchess | Rensselaer","248","Find official domain, then audit careers/jobs pages for detailed solar offers."
"SI Solar (dba for Ficazzola Consulting)","si solar dba for ficazzola consulting","165","0","65","2026-05-02","2026-06-30","Springfield Gardens | Brooklyn | Staten Island | Monroe | Highland Mills | Port Jervis","Queens | Kings | Richmond | Orange","245","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Hudson River Renewables","hudson river renewables","150","0","65","2026-04-28","2026-07-24","Germantown | Carmel | Mahopac | Pomona | Warwick | Cornwall on Hudson | Rensselaerville | Saugerties","Columbia | Putnam | Rockland | Orange | Albany | Ulster | Greene | Delaware","245","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Sunrise Energy Corp.","sunrise energy","330","0","64","2026-03-12","2026-07-09","Medford | Selden | Miller Place | Ronkonkoma | Centereach | Patchogue | East Moriches | Brentwood","Suffolk | Nassau","242","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Paradise Energy Solutions, LLC","paradise energy solutions","276","0","61","2026-05-06","2026-06-30","Middletown | Cuddebackville | Port Jervis | New Windsor | Warwick | Pine Island | Wallkill | Washingtonville","Orange | Ulster | Otsego | Greene | Dutchess | Schoharie | Sullivan | Columbia","233","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Fusion Energy Services, LLC","fusion energy services","144","0","61","2026-01-07","2026-05-21","Greenwich | Canandaigua | Pennellville | Endicott | Clifton Springs | Rushville | Oneida | Central Square","Washington | Ontario | Oswego | Tioga | Oneida | Wayne | Cayuga | Tompkins","233","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Solar Generation (dba for Eiger 3970 Consultants Inc.)","solar generation dba for eiger 3970 consultants","295","0","60","2025-01-03","2026-04-28","Brewster | Peekskill | Saugerties | Woodstock | West Hurley | Kingston | Bloomville | Boiceville","Putnam | Westchester | Ulster | Delaware | Greene | Dutchess | Sullivan | Columbia","230","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Geotherm Inc","geotherm","200","0","60","2025-11-22","2026-04-29","Ithaca | Canandaigua | West Monroe | Palmyra | Webster | Walworth | Marion | Ontario","Tompkins | Ontario | Oswego | Wayne | Monroe | Cayuga | Livingston | Orleans","230","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Revolution Solar (dba for Doherty Electric)","revolution solar dba for doherty electric","124","0","53","2025-10-28","2026-04-21","Cooperstown | South Kortright | Schenevus | Cherry Valley | Worcester | Cobleskill | Middleburgh | Margaretville","Otsego | Delaware | Schoharie | Greene | Herkimer | Madison | Chenango | Oneida","209","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Smart Home Energy Source","smart home energy source","125","0","52","2026-02-13","2026-05-06","Middle Island | Miller Place | Ronkonkoma | Montauk | Holtsville | Lake Grove | Mattituck | Selden","Suffolk | Nassau | Queens | Kings | Richmond | Bronx | Putnam","206","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Sunrise Solar Solutions, LLC","sunrise solar solutions","728","0","46","2024-06-14","2025-01-30","Cutchogue | Port Chester | Hempstead | Bronx | Hastings on Hudson | Pleasantville | Larchmont | Mount Vernon","Suffolk | Westchester | Nassau | Bronx | Rockland | Putnam | Orange | Greene","188","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Brooklyn Solar Partners LLC","brooklyn solar partners","126","0","36","2025-04-02","2026-02-02","Jamaica | South Richmond Hill | Howard Beach | Ozone Park | Springfield Gardens | Saint Albans | South Ozone Park | Rosedale","Queens | Kings | Richmond | Bronx | Westchester | Ulster","158","Find official domain, then audit careers/jobs pages for detailed solar offers."
"New Leaf Solar LLC","new leaf solar","61","0","35","2025-09-22","2026-05-28","Berne | West Kill | Greenville | Millbrook | Peru | Ticonderoga | Chestertown | Putnam Station","Albany | Greene | Dutchess | Clinton | Essex | Warren | Washington | Fulton","155","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Sungineer Solar (dba for Bashing Panels LLC)","sungineer solar dba for bashing panels","74","0","34","2026-07-09","2026-07-29","Ithaca | Harrison | Trumansburg | Aurora | Newfield | Brooktondale | Slaterville Springs | Candor","Tompkins | Westchester | Cayuga | Tioga | Onondaga | Chemung | Madison | Cortland","152","Find official domain, then audit careers/jobs pages for detailed solar offers."
"GAF Energy LLC","gaf energy","32","0","32","2024-09-19","2025-02-03","Irvington | Port Chester | Brewster | Somers | Middletown | Kerhonkson | Hopewell Junction | Lagrangeville","Westchester | Putnam | Orange | Ulster | Dutchess | Wayne | Onondaga | Monroe","128","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Hudson Solar Solutions LLC","hudson solar solutions","32","0","32","2026-02-10","2026-07-03","Accord | Gilboa | Boiceville | Rhinebeck | Red Hook | High Falls | Bearsville | Margaretville","Ulster | Schoharie | Dutchess | Delaware | Columbia | Albany | Rensselaer | Saratoga","128","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Buffalo Solar Solutions, Inc.","buffalo solar solutions","527","0","31","2026-02-12","2026-07-27","Carmel | Cobleskill | Howes Cave | Fishkill | Dexter | Ontario | Skaneateles | Canandaigua","Putnam | Schoharie | Dutchess | Jefferson | Monroe | Onondaga | Ontario | Erie","143","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Indent Builders Inc","indent builders","32","0","31","2026-02-02","2026-06-17","Howard Beach | Ridgewood | Brooklyn | Staten Island | Cold Spring | Mount Kisco | Red Hook | Washingtonville","Queens | Kings | Richmond | Putnam | Westchester | Dutchess | Orange","125","Find official domain, then audit careers/jobs pages for detailed solar offers."
"DMV EQUITY, INC.","dmv equity","74","0","29","2025-08-08","2025-12-30","South Ozone Park | Astoria | Staten Island | Bronx | New Rochelle | Yonkers | Tarrytown | Mamaroneck","Queens | Richmond | Bronx | Westchester | Putnam | Rockland | Orange | Greene","137","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Go Solar, LLC","go solar","49","0","29","2025-10-02","2025-12-29","Lockport | Lewiston | Burt | North Tonawanda | Lancaster | Barker | East Amherst | Stafford","Niagara | Erie | Genesee | Wyoming | Allegany | Cattaraugus | Chautauqua","136","Find official domain, then audit careers/jobs pages for detailed solar offers."
"VSG Power inc.","vsg power","29","0","29","2026-02-28","2026-07-01","Canandaigua | Buffalo | Lancaster | Angola | Holland | Rush | Orchard Park | Hamburg","Ontario | Erie | Monroe | Chautauqua | Cattaraugus","116","Find official domain, then audit careers/jobs pages for detailed solar offers."
"770 Electric Corp.","770 electric","114","0","26","2025-09-20","2026-04-22","Massapequa Park | Levittown | Bethpage | Fresh Meadows | Oakland Gardens | Far Rockaway | Richmond Hill | Howard Beach","Nassau | Queens | Kings | Richmond | New York | Bronx | Westchester","128","Find official domain, then audit careers/jobs pages for detailed solar offers."
"SolEnergy NY LLC","solenergy ny","26","0","26","2025-12-08","2026-07-01","Whitestone | Queens Village | Bronx | Scarsdale | Tarrytown | Hartsdale | Rye | Mount Vernon","Queens | Bronx | Westchester","104","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Electricade LLC DBA Superior Solar USA","electricade dba superior solar usa","26","0","26","2025-05-31","2025-08-13","Mount Vernon | Patterson | Carmel | Slate Hill | Monroe | Spring Valley | Middletown | Liberty","Westchester | Putnam | Orange | Rockland | Sullivan | Ulster | Delaware | Dutchess","104","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Croton Energy Group","croton energy group","108","0","25","2025-06-24","2025-09-04","Port Chester | New Rochelle | Rye | Tuckahoe | Hastings on Hudson | Larchmont | Dobbs Ferry | Pleasantville","Westchester | Putnam | Rockland | Rensselaer | Franklin | Warren | Essex | Hamilton","125","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Solar One, Inc.","solar one","46","0","25","2025-10-29","2026-05-21","Far Rockaway | Little Neck | Flushing | Hollis | Jamaica | Maspeth | Middle Village | Brooklyn","Queens | Kings | Richmond | Bronx | Westchester | Suffolk","121","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Solar Environment LLC","solar environment","25","0","25","2025-11-05","2026-06-11","Durham | East Berne | Claverack | Schaghticoke | Ballston Spa | Lake George | Saratoga Springs | Schenectady","Greene | Albany | Columbia | Rensselaer | Saratoga | Warren | Schenectady | Washington","100","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Next Generation Solar, LLC","next generation solar","86","0","24","2024-07-12","2025-02-11","Winthrop | Camden | Dolgeville | Rensselaer Falls | Watertown | Morristown | Old Forge | Liverpool","St Lawrence | Oneida | Fulton | Jefferson | Herkimer | Onondaga | Cayuga | Oswego","122","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Solarize Plus Inc","solarize plus","24","0","24","2026-02-25","2026-07-30","Brooklyn | Staten Island | Pomona | Spring Valley | Monroe | Highland Mills | Bronx | Mount Kisco","Kings | Richmond | Rockland | Orange | Bronx | Westchester","96","Find official domain, then audit careers/jobs pages for detailed solar offers."
"ADK Solar","adk solar","58","0","23","2025-12-11","2026-01-22","Rainbow Lake | Au Sable Forks | Schroon Lake | Saranac Lake | Bloomingdale | Chazy | Elizabethtown | Lake Clear","Franklin | Essex | Clinton | St Lawrence | Warren | Hamilton","119","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Sunday Energy LLC","sunday energy","23","0","23","2025-12-03","2026-05-29","Brooklyn | Staten Island","Kings | Richmond","92","Find official domain, then audit careers/jobs pages for detailed solar offers."
"J&A Electrical Construction LLC","j a electrical construction","73","0","22","2024-11-20","2025-05-05","Saugerties | Ballston Spa | Rome | Boonville | Forestport | Camden | Taberg | Remsen","Ulster | Saratoga | Oneida | Onondaga | Otsego | Oswego | Herkimer | Hamilton","116","Find official domain, then audit careers/jobs pages for detailed solar offers."
"NxtPhase Solar Energy (dba for DCF Energy Group, LLC)","nxtphase solar energy dba for dcf energy group","28","0","19","2026-01-28","2026-06-04","Jefferson | Poestenkill | Albany | Altamont | Troy | Schenectady | Lake George | North Creek","Schoharie | Rensselaer | Albany | Schenectady | Warren | Oneida | Fulton","85","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Marcor Construction, Inc","marcor construction","21","0","19","2026-05-08","2026-06-01","Coram | Centereach | Hampton Bays | Levittown | Mount Sinai | Islandia | Nesconset | Brentwood","Suffolk | Nassau","78","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Proven Energy Systems LLC","proven energy systems","88","0","18","2025-10-11","2025-12-05","Redwood | Brier Hill | Evans Mills | Hammond | Clayton | Ogdensburg | Cape Vincent | Gouverneur","Jefferson | St Lawrence | Lewis","104","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Ameresco, Inc.","ameresco","48","0","18","2025-09-23","2026-06-03","Brooklyn | Staten Island | Bronx | New York | Ossining | Carmel | Mahopac | Yorktown Heights","Kings | Richmond | Bronx | New York | Westchester | Putnam | Rockland | Orange","102","Find official domain, then audit careers/jobs pages for detailed solar offers."
"NY State Solar (dba for NYSS LLC)","ny state solar dba for nyss","1222","0","17","2024-08-13","2025-03-03","Centereach | Medford | East Setauket | Holbrook | Ronkonkoma | Manorville | Shoreham | Lake Grove","Suffolk | Nassau | Queens | Richmond | Kings","101","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Centurion Solar Energy","centurion solar energy","22","0","17","2025-12-10","2026-05-14","West Islip | Central Islip | Little Neck | College Point | Forest Hills | Woodside | Astoria | Bellerose","Suffolk | Queens | Kings | Richmond | Bronx | Putnam","73","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Discover Green Renewable Energy LLC","discover green renewable energy","21","0","17","2025-11-30","2026-02-12","Glen Cove | Bellmore | Woodmere | Oceanside | Brooklyn | Whitestone | Ridgewood | Flushing","Nassau | Kings | Queens | Richmond | Bronx | Westchester","72","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Empire Solar Store (dba Wiltshire Renewable Energy Systems, LLC)","empire solar store dba wiltshire renewable energy systems","138","0","16","2025-11-08","2025-12-19","Cold Spring | Warwick | East Berne | Earlton | Catskill | Middleburgh | Saugerties | Ravena","Putnam | Orange | Albany | Greene | Schoharie | Ulster | Dutchess | Rensselaer","98","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Autonomous Energies, LLC","autonomous energies","55","0","16","2025-12-11","2026-04-22","Verplanck | West Kill | Mount Tremper | Red Hook | Walden | Lake Katrine | Boiceville | Kingston","Westchester | Greene | Ulster | Dutchess | Orange | Columbia","98","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Fourth Coast, Inc","fourth coast","250","0","15","2025-06-18","2026-05-14","La Fargeville | Morris | Clayton | Hammond | Cape Vincent | Gouverneur | Heuvelton | Boonville","Jefferson | Otsego | St Lawrence | Oneida | Franklin | Lewis | Onondaga | Oswego","95","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Aries Power","aries power","35","0","15","2026-05-29","2026-06-23","New Rochelle | Schoharie | Red Hook | New Paltz | Tivoli | Schenectady | Gardiner | Troy","Westchester | Schoharie | Dutchess | Ulster | Albany | Rensselaer | Schenectady | Herkimer","80","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Ecovis Group Inc","ecovis group","15","0","14","2023-12-28","2026-07-23","Buffalo | East Amherst","Erie","57","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Solar Energy Systems, LLC","solar energy systems","182","0","13","2023-10-11","2025-12-02","Commack | Oakland Gardens | Bayside | Flushing | Richmond Hill | Kew Gardens | Jamaica | Little Neck","Suffolk | Queens | Kings | Richmond | New York | Bronx | Westchester | Rockland","89","Find official domain, then audit careers/jobs pages for detailed solar offers."
"John Mills Electric Inc.","john mills electric","124","0","13","2025-12-05","2026-05-06","Johnson City | Horseheads | Elmira | Pine City | Marathon | Vestal | Big Flats | Spencer","Broome | Chemung | Cortland | Tompkins | Tioga | Livingston | Ontario | Steuben","89","Find official domain, then audit careers/jobs pages for detailed solar offers."
