providerType,ccn,providerName,city,state,reviewedDomain,candidateUrl,mapLinkCount,careerUrlsFound,detailedJobUrlsFound,detailedJobUrlCount,verifiedDetailPages,pagesWithLocation,pagesWithEmploymentType,maxDescriptionWords,atsDetected,jobPostingDetected,auditStage,auditStatus,auditReason
nursing_home,045214,Hudson Memorial Nursing Home,EL DORADO,AR,hudsonmemorialnursing.com,https://hudsonmemorialnursing.com/,3,,,0,0,0,0,0,false,false,map_only,rejected_insufficient_detailed_job_urls,Map found 0 provider-hosted job/career URL(s); requires at least 5 distinct detailed offers.
nursing_home,075338,ARK HEALTHCARE & REHABILITATION AT GOVERNORS HOUSE,SIMSBURY,CT,arkgovernorshouse.com,https://arkgovernorshouse.com/services/,14,https://arkgovernorshouse.com/re-opening-letter|https://arkgovernorshouse.com/careers,https://arkgovernorshouse.com/re-opening-letter,1,0,0,0,0,false,false,map_only,rejected_insufficient_detailed_job_urls,Map found 1 provider-hosted job/career URL(s); requires at least 5 distinct detailed offers.
nursing_home,105634,GULFSIDE HEALTH AND REHABILITATION CENTER,CLEARWATER,FL,gulfsidehrc.com,https://gulfsidehrc.com/,23,https://gulfsidehrc.com/employment,,0,0,0,0,0,false,false,map_only,rejected_insufficient_detailed_job_urls,Map found 0 provider-hosted job/career URL(s); requires at least 5 distinct detailed offers.
nursing_home,115449,HART CARE CENTER,HARTWELL,GA,hartcarecenter.org,https://hartcarecenter.org/service/senior-care-services/,19,,,0,0,0,0,0,false,false,map_only,rejected_insufficient_detailed_job_urls,Map found 0 provider-hosted job/career URL(s); requires at least 5 distinct detailed offers.
nursing_home,225049,Pine Knoll Nursing Center,LEXINGTON,MA,pineknollnursingcenter.com,https://www.pineknollnursingcenter.com/About-Pine-Knoll-Nursing-Center-Rehab,3,,,0,0,0,0,0,false,false,map_only,rejected_insufficient_detailed_job_urls,Map found 0 provider-hosted job/career URL(s); requires at least 5 distinct detailed offers.
nursing_home,215007,Wicomico Nursing Home,SALISBURY,MD,wicomiconursinghome.org,https://wicomiconursinghome.org/contact/,9,https://wicomiconursinghome.org/employment,,0,0,0,0,0,false,false,map_only,rejected_insufficient_detailed_job_urls,Map found 0 provider-hosted job/career URL(s); requires at least 5 distinct detailed offers.
nursing_home,205082,PINNACLE HEALTH & REHAB AT SANFORD,SANFORD,ME,pinnaclesanford.com,https://pinnaclesanford.com/,9,https://pinnaclesanford.com/employment-application,,0,0,0,0,0,false,false,map_only,rejected_insufficient_detailed_job_urls,Map found 0 provider-hosted job/career URL(s); requires at least 5 distinct detailed offers.
nursing_home,265412,MOUNTAIN VIEW HEALTHCARE,MOUNTAIN VIEW,MO,willowhealthcare.com,https://www.willowhealthcare.com/communities/mountain-view-healthcare/,30,https://www.willowhealthcare.com/about-us/careers,,0,0,0,0,0,false,false,map_only,rejected_insufficient_detailed_job_urls,Map found 0 provider-hosted job/career URL(s); requires at least 5 distinct detailed offers.
nursing_home,38E174,VILLAGE MANOR OF CASCADIA,WOOD VILLAGE,OR,villagemanorofcascadia.com,https://www.villagemanorofcascadia.com/,10,https://www.villagemanorofcascadia.com/careers,,0,0,0,0,0,false,false,map_only,rejected_insufficient_detailed_job_urls,Map found 0 provider-hosted job/career URL(s); requires at least 5 distinct detailed offers.
nursing_home,395605,ST BARNABAS NURSING HOME,GIBSONIA,PA,stbarnabashealthsystem.com,https://stbarnabashealthsystem.com/charities/annual-events/presents-for-patients/,108,https://stbarnabashealthsystem.com/careers/students/student-employment-application|https://stbarnabashealthsystem.com/careers/application|https://stbarnabashealthsystem.com/careers/referral-bonus|https://stbarnabashealthsystem.com/careers/students|https://stbarnabashealthsystem.com/careers,,0,0,0,0,0,false,false,map_only,rejected_insufficient_detailed_job_urls,Map found 0 provider-hosted job/career URL(s); requires at least 5 distinct detailed offers.
