providerType,ccn,providerName,city,state,reviewedDomain,candidateUrl,mapLinkCount,careerUrlsFound,detailedJobUrlsFound,detailedJobUrlCount,verifiedDetailPages,pagesWithLocation,pagesWithEmploymentType,maxDescriptionWords,atsDetected,jobPostingDetected,auditStage,auditStatus,auditReason
nursing_home,045214,Hudson Memorial Nursing Home,EL DORADO,AR,hudsonmemorialnursing.com,https://hudsonmemorialnursing.com/,3,,,0,0,0,0,0,false,false,map_only,rejected_no_careers_page,No provider-hosted careers/jobs/employment landing page was found.
nursing_home,075338,ARK HEALTHCARE & REHABILITATION AT GOVERNORS HOUSE,SIMSBURY,CT,arkgovernorshouse.com,https://arkgovernorshouse.com/services/,14,https://arkgovernorshouse.com/careers|https://arkgovernorshouse.com/re-opening-letter|https://arkgovernorshouse.com/careers/|https://arkgovernorshouse.com/careers/#,https://arkgovernorshouse.com/re-opening-letter,1,0,0,0,0,false,false,career_page_audit,rejected_insufficient_detailed_job_urls,Career page exposed 1 distinct provider-hosted job URLs; requires at least 3.
nursing_home,105634,GULFSIDE HEALTH AND REHABILITATION CENTER,CLEARWATER,FL,gulfsidehrc.com,https://gulfsidehrc.com/,23,https://gulfsidehrc.com/employment|https://gulfsidehrc.com/employment/#content|https://gulfsidehrc.com/employment/#access_tools|https://gulfsidehrc.com/employment/,,0,0,0,0,0,false,false,career_page_audit,rejected_insufficient_detailed_job_urls,Career page exposed 0 distinct provider-hosted job URLs; requires at least 3.
nursing_home,115449,HART CARE CENTER,HARTWELL,GA,hartcarecenter.org,https://hartcarecenter.org/service/senior-care-services/,19,,,0,0,0,0,0,false,false,map_only,rejected_no_careers_page,No provider-hosted careers/jobs/employment landing page was found.
nursing_home,225049,Pine Knoll Nursing Center,LEXINGTON,MA,pineknollnursingcenter.com,https://www.pineknollnursingcenter.com/About-Pine-Knoll-Nursing-Center-Rehab,3,,,0,0,0,0,0,false,false,map_only,rejected_no_careers_page,No provider-hosted careers/jobs/employment landing page was found.
nursing_home,215007,Wicomico Nursing Home,SALISBURY,MD,wicomiconursinghome.org,https://wicomiconursinghome.org/contact/,9,https://wicomiconursinghome.org/employment|https://wicomiconursinghome.org/employment/,,0,0,0,0,0,false,false,career_page_audit,rejected_insufficient_detailed_job_urls,Career page exposed 0 distinct provider-hosted job URLs; requires at least 3.
nursing_home,205082,PINNACLE HEALTH & REHAB AT SANFORD,SANFORD,ME,pinnaclesanford.com,https://pinnaclesanford.com/,9,https://pinnaclesanford.com/employment-application|https://pinnaclesanford.com/employment-application#|https://pinnaclesanford.com/wp-content/uploads/2020/05/Pinnacle-Sanford-Employment-Application.doc,,0,0,0,0,0,false,false,career_page_audit,rejected_insufficient_detailed_job_urls,Career page exposed 0 distinct provider-hosted job URLs; requires at least 3.
nursing_home,265412,MOUNTAIN VIEW HEALTHCARE,MOUNTAIN VIEW,MO,willowhealthcare.com,https://www.willowhealthcare.com/communities/mountain-view-healthcare/,30,https://www.willowhealthcare.com/about-us/careers|https://www.willowhealthcare.com/about-us/careers/#module_1|https://www.willowhealthcare.com/about-us/careers/,,0,0,0,0,0,false,false,career_page_audit,rejected_insufficient_detailed_job_urls,Career page exposed 0 distinct provider-hosted job URLs; requires at least 3.
nursing_home,38E174,VILLAGE MANOR OF CASCADIA,WOOD VILLAGE,OR,villagemanorofcascadia.com,https://www.villagemanorofcascadia.com/,10,https://www.villagemanorofcascadia.com/careers|https://www.villagemanorofcascadia.com/careers/#ajax-content-wrap|https://www.villagemanorofcascadia.com/careers/#slide-out-widget-area|https://www.villagemanorofcascadia.com/careers/|https://www.villagemanorofcascadia.com/careers/#,,0,0,0,0,0,true,false,career_page_audit,rejected_ats_detected,Known ATS domain or embed detected on the career page.
nursing_home,395605,ST BARNABAS NURSING HOME,GIBSONIA,PA,stbarnabashealthsystem.com,https://stbarnabashealthsystem.com/charities/annual-events/presents-for-patients/,108,https://stbarnabashealthsystem.com/careers|https://stbarnabashealthsystem.com/careers/students|https://stbarnabashealthsystem.com/careers/application|https://stbarnabashealthsystem.com/careers/referral-bonus|https://stbarnabashealthsystem.com/careers/students/student-employment-application|https://stbarnabashealthsystem.com/careers/#|https://stbarnabashealthsystem.com/careers/#content|https://stbarnabashealthsystem.com/careers/,,0,0,0,0,0,true,false,career_page_audit,rejected_ats_detected,Known ATS domain or embed detected on the career page.
nursing_home,056382,THE GROVE POST-ACUTE CARE CENTER,SYLMAR,CA,thegrovepostacute.com,https://www.thegrovepostacute.com/,7,,,0,0,0,0,0,false,false,map_only,rejected_no_careers_page,No provider-hosted careers/jobs/employment landing page was found.
nursing_home,295104,SIERRA BASIN POST ACUTE,CARSON CITY,NV,sierrabasinpa.com,https://sierrabasinpa.com/,14,https://sierrabasinpa.com/careers|https://sierrabasinpa.com/careers/#wp--skip-link--target|https://sierrabasinpa.com/careers/|https://sierrabasinpa.com/careers/#,,0,0,0,0,0,true,false,career_page_audit,rejected_ats_detected,Known ATS domain or embed detected on the career page.
nursing_home,676000,PINE RIDGE HEALTH CARE LLP,LIVINGSTON,TX,pineridgellp.com,https://pineridgellp.com/contact/,1,,,0,0,0,0,0,false,false,map_only,rejected_no_careers_page,No provider-hosted careers/jobs/employment landing page was found.
nursing_home,535026,Big Horn Rehabilitation and Care Center,Sheridan,WY,bighornhc.com,https://bighornhc.com/,31,https://bighornhc.com/careers|https://bighornhc.com/careers/,,0,0,0,0,0,false,false,career_page_audit,rejected_insufficient_detailed_job_urls,Career page exposed 0 distinct provider-hosted job URLs; requires at least 3.
nursing_home,555767,BELLAKEN SKILLED NURSING CENTER,OAKLAND,CA,bellaken.com,http://www.bellaken.com/index.php/skilled-nursing-facility-services/skilled-nursing,69,,,0,0,0,0,0,false,false,map_only,rejected_no_careers_page,No provider-hosted careers/jobs/employment landing page was found.
nursing_home,075236,NOBLE HORIZONS,SALISBURY,CT,noblehorizons.org,https://noblehorizons.org/noble-horizons-nurse-autumn-cockcroft-honored-receives-optums-clinical-excellence-award/,233,https://noblehorizons.org/about/career-opportunities|https://noblehorizons.org/jessica-boardman-r-n-lasting-bonds-are-part-of-her-noble-career|https://noblehorizons.org/about/career-opportunities/#content|https://noblehorizons.org/about/career-opportunities/#|https://noblehorizons.org/about/career-opportunities/,https://noblehorizons.org/jessica-boardman-r-n-lasting-bonds-are-part-of-her-noble-career|https://noblehorizons.org/coping-with-role-reversal-and-aging-parents|https://noblehorizons.org/tag/senior-caregiver-roles,3,0,3,1,2031,false,false,detailed_audit,rejected_incomplete_job_pages,Only 0 sampled offers met the >=300 words + location + employment type requirements; requires 3.
