licenseNumber,businessName,cityStateZip,candidateDomain,sources,status
1456996,BROWARD SOLAR INC,N. PALM BEACH FL 33408,browardsolar.com,clearout,candidate_found
0056722,BROWARD SOLAR INC,N. PALM BEACH FL 33408,browardsolar.com,clearout,candidate_found
0056742,"CKR SOLAR, LLC",DADE CITY FL 33526,ckrsolar.com,clearout,candidate_found
1511520,"CKR SOLAR, LLC",DADE CITY FL 33526,ckrsolar.com,clearout,candidate_found
0057257,"CKR SOLAR, LLC",ABITA SPRINGS LA 70420,ckrsolar.com,clearout,candidate_found
0056780,COAST TO COAST SOLAR INC,LUTZ FL 33549,coasttocoastsolar.com,clearout,candidate_found
0056700,COMPASS SOLAR ENERGY,PENSACOLA FL 32505,compasssolar.com,clearout,candidate_found
0056957,CUTLER BAY SOLAR SOLUTIONS,MIAMI FL 33157,cutlerbaysolarsolutions.com,clearout,candidate_found
0057301,"DETACH RESET SOLAR, LLC",SUN CITY FL 33573,detachresetsolar.com,clearout,candidate_found
0057176,DIAMOND SOLAR LLC,SANFORD FL 32771,diamondsolarllc.com,clearout,candidate_found
1334532,DIAMOND SOLAR LLC,SANFORD FL 32771,diamondsolarllc.com,clearout,candidate_found
0056658,ED'S SPAS SOLAR & POOLS INC,SOUTH DAYTONA FL 32119,poolbuildersormondbeach.com,clearout,candidate_found
1513786,EPIC SOLAR SYSTEMS,ZELLWOOD FL 32798,epicsolarsystems.com,clearout,candidate_found
0056749,EVERYTHING SOLAR,LONGWOOD FL 32779,poweredbydaylight.com,clearout,candidate_found
0057199,FIX MY SOLAR LLC,WEST PALM BEACH FL 33401,fixmysolar.com,clearout,candidate_found
1428367,FLORIDA PLUMBING & SOLAR LLC,FORT PIERCE FL 34951,keepingsolarsimple.com,clearout,candidate_found
0056956,FLORIDA SOLAR DESIGN GROUP,FORT MYERS FL 33913,floridasolardesigngroup.com,clearout,candidate_found
0056696,FLORIDA SOLAR SERVICES LLC,ST AUGUSTINE FL 32086-3808,floridasolarservices.com,clearout,candidate_found
1427012,FREEDOM PLUMBING & SOLAR INC,SPRING HILL FL 34608,freedomplumbingsolar.com,clearout,candidate_found
1818566,"FREEDOM SOLAR ENERGY, LLC",SANTA ROSA BEACH FL 32459,freedomsolarenergy.us,clearout,candidate_found
0056990,"FREEDOM SOLAR ENERGY, LLC",SANTA ROSA BEACH FL 32459,freedomsolarenergy.us,clearout,candidate_found
0057061,"FREEDOM SOLAR, INC.",MORRISTON FL 32668,freedomsolar.net,clearout,candidate_found
0056962,GO SOLAR POWER LLC,WEST PALM BEACH FL 33409,gosolarpower.com,clearout,candidate_found
1264000,GO SOLAR POWER LLC,MELBOURNE FL 32935,gosolarpower.com,clearout,candidate_found
1332637,GO SOLAR POWER LLC,MELBOURNE FL 32935,gosolarpower.com,clearout,candidate_found
1334431,GOLD COAST ROOFING AND SOLAR LLC,MIAMI FL 33196,gcroofingsolar.com,clearout,candidate_found
0056965,"GOLDIN SOLAR, LLC",MIAMI FL 33133,goldinsolar.com,clearout,candidate_found
0057300,"GOLDIN SOLAR, LLC",VERO BEACH FL 32960,goldinsolar.com,clearout,candidate_found
0056958,GREEN CITY SOLAR LLC,FORT MYERS FL 33905,greencitysolar.us,clearout,candidate_found
1818888,GREEN SOLUTIONS SOLAR & RENOVATIONS LLC,HOLLYWOOD FL 33021,greensolutionsfl.net,clearout,candidate_found
1525795,GREEN SOLUTIONS SOLAR & RENOVATIONS LLC,MIAMI FL 33179,greensolutionsfl.net,clearout,candidate_found
0056709,GUARDIAN SOLAR LLC,HOLIDAY FL 34692,guardiansolar.com,clearout,candidate_found
